pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
6003614,Rainbird,H2coco Coconut Water Vodka & Pineapple 4% Cans 330mL,129.99,24.0,25.01,5.42
742149,Vodka Cruiser,Wild Raspberry Bottles 275mL,19.95,4.0,3.99,4.99
742149,Vodka Cruiser,Wild Raspberry Bottles 275mL,88.95,24.0,23.97,3.71
6025826,Hard Rated,Orange 10pk Cans 375mL,44.95,13.0,13.32,3.46
6025826,Hard Rated,Orange 10pk Cans 375mL,134.85,39.0,39.97,3.46
282520,Brookvale Union,Vodka Passionfruit Can 330mL,30.0,6.0,6.25,5.0
282520,Brookvale Union,Vodka Passionfruit Can 330mL,111.99,24.0,25.01,4.67
326156,23rd Street Distillery,Pineapple & Lime with Australian Vodka Cans 300mL,24.99,4.8,4.74,5.21
326156,23rd Street Distillery,Pineapple & Lime with Australian Vodka Cans 300mL,127.99,28.8,28.42,4.44
911681,Curatif,Pina Colada Cans 130mL,45.0,6.0,5.95,7.5
911681,Curatif,Pina Colada Cans 130mL,279.99,36.0,35.71,7.78
299274,Malocchio,Kakadu Plum Hard Seltzer Can 250mL,20.99,4.0,3.95,5.25
299274,Malocchio,Kakadu Plum Hard Seltzer Can 250mL,104.99,24.0,23.68,4.37
238242,Nelson County,County Blended Bourbon & Cola Can 10x200ml,58.0,19.0,18.95,3.05
238242,Nelson County,County Blended Bourbon & Cola Can 10x200ml,126.99,38.0,37.89,3.34
911665,Jerri Cocktail,Moscow Mule Cans 250mL,27.0,6.4,6.32,4.22
911665,Jerri Cocktail,Moscow Mule Cans 250mL,164.99,38.4,37.89,4.3
432757,Jameson,Irish Whiskey Smooth Dry & Lime 6.3% Cans 375mL,24.95,7.6,7.46,3.28
432757,Jameson,Irish Whiskey Smooth Dry & Lime 6.3% Cans 375mL,149.7,45.6,44.76,3.28
521602,Bundaberg,Campfire Bourbon Barrel Finished Rum & Cola 6% Cans 375mL,24.95,7.2,7.11,3.47
521602,Bundaberg,Campfire Bourbon Barrel Finished Rum & Cola 6% Cans 375mL,149.7,43.2,42.63,3.47
6027067,Bacardi,Rum and Coca-Cola 330mL Can,19.95,4.8,5.0,4.16
6027067,Bacardi,Rum and Coca-Cola 330mL Can,119.7,28.8,30.01,4.16
332465,The Kraken,Spiced Rum & Cola Cans 330mL,25.0,5.6,5.73,4.46
332465,The Kraken,Spiced Rum & Cola Cans 330mL,155.99,33.6,34.39,4.64
279853,Vodka Cruiser,Double Lemon Lime 6.8% Cans 375mL,28.95,8.0,8.05,3.62
279853,Vodka Cruiser,Double Lemon Lime 6.8% Cans 375mL,149.99,48.0,48.31,3.12
162729,Wild Turkey,101 Bourbon & Cola 330mL Bottles,29.0,7.6,6.77,3.82
162729,Wild Turkey,101 Bourbon & Cola 330mL Bottles,167.99,45.6,40.64,3.68
504822,Hard Rated,Zero Sugar 10pk Cans 375mL,44.95,13.0,13.32,3.46
504822,Hard Rated,Zero Sugar 10pk Cans 375mL,134.85,39.0,39.97,3.46
910072,Vodka Cruiser,Zero Sugar Mixed Berry Cans 275mL,22.99,4.0,3.99,5.75
910072,Vodka Cruiser,Zero Sugar Mixed Berry Cans 275mL,89.0,24.0,23.97,3.71
55081,Nelson County,Zero Sugar Bourbon & Cola Cans 375mL,25.0,10.38,8.17,2.41
55081,Nelson County,Zero Sugar Bourbon & Cola Cans 375mL,89.99,41.52,32.68,2.17
910465,Jameson,Smooth Dry Lime 4.8% Cans 330mL,23.99,5.2,5.0,4.61
910465,Jameson,Smooth Dry Lime 4.8% Cans 330mL,123.99,31.2,30.01,3.97
388032,Fellr,Fellr Seltzer Mixed Pack Cans 10x330mL,46.99,10.0,10.42,4.7
388032,Fellr,Fellr Seltzer Mixed Pack Cans 10x330mL,142.99,30.0,31.26,4.77
6027081,Suntory,-196 Double Lemon 9% Cans 250mL,24.95,7.2,7.11,3.47
6027081,Suntory,-196 Double Lemon 9% Cans 250mL,135.0,43.2,42.63,3.12
742207,Vodka Cruiser,Mixed 10 Pack Bottles 275mL,43.95,10.0,9.99,4.4
742207,Vodka Cruiser,Mixed 10 Pack Bottles 275mL,124.99,30.0,29.96,4.17
6028808,Brookvale Union,Vodka Pineapple & Coconut Cans 330mL,30.0,6.0,6.25,5.0
6028808,Brookvale Union,Vodka Pineapple & Coconut Cans 330mL,111.99,24.0,25.01,4.67
309580,Ampersand,Whisky & Dry Lime Extra Strength Cans 330mL,28.49,6.24,6.25,4.57
309580,Ampersand,Whisky & Dry Lime Extra Strength Cans 330mL,102.99,24.96,25.01,4.13
164085,Brookvale Union,Lemon Lime & Bitters Cans 330mL,27.95,6.0,6.25,4.66
164085,Brookvale Union,Lemon Lime & Bitters Cans 330mL,102.95,24.0,25.01,4.29
907461,Smirnoff,Ice Double Black Cans 10 Pack 375mL,51.95,19.0,19.24,2.73
907461,Smirnoff,Ice Double Black Cans 10 Pack 375mL,155.85,57.0,57.73,2.73
72258,Jim Beam,White Label Bourbon & Cola Cans 375mL,29.95,8.4,8.53,3.57
72258,Jim Beam,White Label Bourbon & Cola Cans 375mL,98.0,33.6,34.1,2.92
6028803,Four Pillars,Gin Crush Cans 330mL,27.99,5.2,5.0,5.38
6028803,Four Pillars,Gin Crush Cans 330mL,139.99,31.2,30.01,4.49
130169,Moon Dog,Fizzer Tropical Crush Seltzer Can 330mL,19.99,4.0,4.17,5.0
130169,Moon Dog,Fizzer Tropical Crush Seltzer Can 330mL,76.99,24.0,25.01,3.21
911683,Ampersand,Whisky & Lemonade Cans 330mL,20.0,4.16,4.17,4.81
911683,Ampersand,Whisky & Lemonade Cans 330mL,82.99,16.64,16.67,4.99
905930,Woodstock,Bourbon & Cola 4.8% Cans 375mL,29.0,8.52,8.53,3.4
905930,Woodstock,Bourbon & Cola 4.8% Cans 375mL,99.95,34.08,34.1,2.93
6047466,Hard Rated,Mixed 4.5% Cans 10x375mL,50.99,13.0,13.32,3.92
6047466,Hard Rated,Mixed 4.5% Cans 10x375mL,138.99,39.0,39.97,3.56
915872,Canadian Club,Whisky & Dry 4.8% Cans 375mL,29.95,8.4,8.53,3.57
915872,Canadian Club,Whisky & Dry 4.8% Cans 375mL,98.0,33.6,34.1,2.92
6028806,Smirnoff,Double Black Tropical Cans 6.5% Cans 375mL,21.0,7.6,7.7,2.76
6028806,Smirnoff,Double Black Tropical Cans 6.5% Cans 375mL,122.25,45.6,46.18,2.68
6025616,Hard Fizz,Vodka Pineapple Cans 330mL,23.0,4.0,4.17,5.75
6025616,Hard Fizz,Vodka Pineapple Cans 330mL,138.99,24.0,25.01,5.79
314375,Ned Australian Whisky,& Cola 6% 10 pack Cans 375mL,56.99,18.0,17.76,3.17
314375,Ned Australian Whisky,& Cola 6% 10 pack Cans 375mL,149.99,54.0,53.29,2.78
162761,Moon Dog,Fizzer Seltzer Mixed Pack Cans 330mL,39.99,10.0,10.42,4.0
162761,Moon Dog,Fizzer Seltzer Mixed Pack Cans 330mL,119.99,30.0,31.26,4.0
750249,Jack Daniel's,Tennessee Whiskey & Cola Cans 375mL,35.95,8.4,8.53,4.28
750249,Jack Daniel's,Tennessee Whiskey & Cola Cans 375mL,118.99,33.6,34.1,3.54
338455,Woodstock,Bourbon & Cola  6% Cans 375mL,37.99,10.8,10.66,3.52
338455,Woodstock,Bourbon & Cola  6% Cans 375mL,139.99,43.2,42.63,3.24
234596,Brookvale Union,Vodka Lemon Squash Cans 330mL,21.95,6.4,6.25,3.43
234596,Brookvale Union,Vodka Lemon Squash Cans 330mL,131.7,38.4,37.51,3.43
850617,Gentleman Jack,Rare Tennessee Whiskey & Cola 330mL,31.95,6.4,150.06,4.99
850617,Gentleman Jack,Rare Tennessee Whiskey & Cola 330mL,169.99,38.4,900.35,4.43
65509,Johnnie Walker,Black & Cola 6% Cans 375mL,32.99,7.2,7.11,4.58
65509,Johnnie Walker,Black & Cola 6% Cans 375mL,159.99,43.2,42.63,3.7
165722,Jose Cuervo,SparklingMargarita 330ml,26.99,4.4,4.38,6.13
165722,Jose Cuervo,SparklingMargarita 330ml,145.99,26.4,26.26,5.53
106538,Bombay Sapphire,Gin & Tonic Double Serve 10% Cans 250mL,31.95,8.0,7.89,3.99
106538,Bombay Sapphire,Gin & Tonic Double Serve 10% Cans 250mL,177.99,48.0,47.37,3.71
772047,Jim Beam,White Label Bourbon & Zero Sugar Cola Cans 10 Pack 375mL,45.95,14.0,14.21,3.28
772047,Jim Beam,White Label Bourbon & Zero Sugar Cola Cans 10 Pack 375mL,135.99,42.0,42.63,3.24
6027054,Jim Beam,Vanilla & Cola 4.8% Cans 375mL,30.0,8.4,8.53,3.57
6027054,Jim Beam,Vanilla & Cola 4.8% Cans 375mL,99.99,33.6,34.1,2.98
6056328,Calabria,Belena Passionfruit Spritz,18.99,5.3,5.33,3.58
6056328,Calabria,Belena Passionfruit Spritz,108.6,31.8,31.97,3.42
6005405,Sour Puss,Alcoholic Sour Watermelon Cans 330mL,18.99,8.4,8.34,2.26
6005405,Sour Puss,Alcoholic Sour Watermelon Cans 330mL,89.99,50.4,50.02,1.79
906979,Bundaberg,Rum & Cola Cans 10 Pack 375mL,47.95,14.0,13.62,3.43
906979,Bundaberg,Rum & Cola Cans 10 Pack 375mL,143.85,42.0,40.85,3.42
28730,Bundaberg,Rum & Cola Cans 375mL,31.95,8.4,8.17,3.8
28730,Bundaberg,Rum & Cola Cans 375mL,102.95,33.6,32.68,3.06
783490,Smirnoff,Ice Double Black Zero Sugar Cans 375mL,27.95,7.6,7.7,3.68
783490,Smirnoff,Ice Double Black Zero Sugar Cans 375mL,162.99,45.6,46.18,3.57
829091,Jack Daniel's,American Serve and Cola Cans 10 Packs 250mL,71.95,40.0,197.36,1.8
829091,Jack Daniel's,American Serve and Cola Cans 10 Packs 250mL,115.99,80.0,394.73,1.45
910493,Espolon,Sparkling Paloma Cans 330mL,24.95,4.0,4.69,6.24
910493,Espolon,Sparkling Paloma Cans 330mL,130.99,24.0,28.14,5.46
914545,Monsuta,Green Apple Chuhai 7.3% Can 350mL,18.0,8.8,8.07,2.05
914545,Monsuta,Green Apple Chuhai 7.3% Can 350mL,137.99,52.8,48.41,2.61
432793,Woodstock,Bourbon & Cola 12% Cans 200mL,28.95,7.6,7.58,3.81
432793,Woodstock,Bourbon & Cola 12% Cans 200mL,145.99,45.6,45.47,3.2
198368,Rivka,Vodka & Raspberry Can 275ml;Vodka & Raspberry Bottle 275mL,13.99,4.0,3.99,3.5
198368,Rivka,Vodka & Raspberry Can 275ml;Vodka & Raspberry Bottle 275mL,74.99,24.0,23.97,3.12
910795,Jameson,Cola 4.8% Cans 330mL,23.99,5.2,5.0,4.61
910795,Jameson,Cola 4.8% Cans 330mL,123.99,31.2,30.01,3.97
6020608,Monsuta,Lemon Chūhai 7.3% Cans 350mL,18.0,7.6,8.07,2.37
6020608,Monsuta,Lemon Chūhai 7.3% Cans 350mL,103.5,45.6,48.41,2.27
520566,Bundaberg,Campfire Bourbon Barrel Finished Rum & Cola 6% Cans 10x375mL,60.99,18.0,17.76,3.39
520566,Bundaberg,Campfire Bourbon Barrel Finished Rum & Cola 6% Cans 10x375mL,173.99,54.0,53.29,3.22
6025468,Jose Cuervo,Coconut Sparkling Margarita Cans 330mL,26.99,4.4,4.38,6.13
6025468,Jose Cuervo,Coconut Sparkling Margarita Cans 330mL,145.99,26.4,26.26,5.53
780046,Jack Daniel's,Double Jack & Cola Cans 375mL,31.95,8.0,8.17,3.99
780046,Jack Daniel's,Double Jack & Cola Cans 375mL,172.99,48.0,49.02,3.6
502333,Hard Rated,Zero Sugar Cans 375mL,22.95,5.2,5.33,4.41
502333,Hard Rated,Zero Sugar Cans 375mL,114.95,31.2,31.97,3.68
6025521,Ampersand,Vodka & Lemonade Cans 330mL,28.99,6.4,6.25,4.53
6025521,Ampersand,Vodka & Lemonade Cans 330mL,135.99,38.4,37.51,3.54
6003850,Smirnoff,Vodka Crush Mixed Pack 6% Cans 10x440mL,64.0,21.0,20.84,3.05
6003850,Smirnoff,Vodka Crush Mixed Pack 6% Cans 10x440mL,189.99,63.0,62.52,3.02
6027043,Canadian Club,Lemon Crush Whisky 4.8% 10 Pack Cans 375mL,45.95,14.0,142.1,3.28
6027043,Canadian Club,Lemon Crush Whisky 4.8% 10 Pack Cans 375mL,135.99,42.0,426.3,3.24
105574,23rd Street Distillery,Signature Gin & Tonic Cans 300mL,25.99,5.2,5.21,5.0
105574,23rd Street Distillery,Signature Gin & Tonic Cans 300mL,124.99,31.2,31.26,4.01
