pid,brand,product,price,standard drinks,standard drinks estimate,price per sd
173953,UDL,Vodka & Passionfruit Cans 375mL,128.99,28.8,28.42,4.48
161128,Voso,Vodka Soda 375mL,21.49,4.8,4.97,4.48
161128,Voso,Vodka Soda 375mL,102.99,28.8,29.84,3.58
94952,Rainbird,Lemon & Lime Seltzer 6% Cans 330mL,23.0,6.4,6.25,3.59
94952,Rainbird,Lemon & Lime Seltzer 6% Cans 330mL,129.99,38.4,37.51,3.39
234610,Four Pillars,Bloody Shiraz Gin & Tonic 250mL,28.99,4.0,4.03,7.25
234610,Four Pillars,Bloody Shiraz Gin & Tonic 250mL,139.99,24.0,24.16,5.83
278428,Vodka Cruiser,Double Raspberry 6.8% Can 375mL,28.95,8.0,8.05,3.62
278428,Vodka Cruiser,Double Raspberry 6.8% Can 375mL,149.99,48.0,48.31,3.12
716214,Canadian Club,Whisky & Dry 4.8% Cans 10 Pack 375mL,45.95,14.0,14.21,3.28
716214,Canadian Club,Whisky & Dry 4.8% Cans 10 Pack 375mL,135.99,42.0,42.63,3.24
313577,Brookvale Union,Mixed 10 Pack Cans 330mL,54.99,10.0,10.42,5.5
313577,Brookvale Union,Mixed 10 Pack Cans 330mL,139.99,30.0,31.26,4.67
296474,Malocchio,Finger Lime Hard Seltzer Can 250mL,20.99,4.0,3.95,5.25
296474,Malocchio,Finger Lime Hard Seltzer Can 250mL,104.99,24.0,23.68,4.37
6027062,Suntory,-196 Double Lemon 4.5% Cans 10x330mL,43.99,12.0,11.72,3.67
6027062,Suntory,-196 Double Lemon 4.5% Cans 10x330mL,129.99,36.0,35.17,3.61
280542,Mexink,Jalapeno Spicy Margarita Cans 250mL,49.99,10.4,10.26,4.81
280542,Mexink,Jalapeno Spicy Margarita Cans 250mL,184.99,41.6,41.05,4.45
509738,Jack Daniel's,Gentleman Jack Tennessee Whiskey & Cola 6% 375mL,34.99,7.2,7.11,4.86
509738,Jack Daniel's,Gentleman Jack Tennessee Whiskey & Cola 6% 375mL,159.99,43.2,42.63,3.7
6003860,Kirin,Hyoketsu Green Apple Can 330mL,26.99,6.4,6.25,4.22
6003860,Kirin,Hyoketsu Green Apple Can 330mL,121.99,38.4,37.51,3.18
911756,Smirnoff,Crush Lemon Lime Cans 440mL,32.99,8.4,8.34,3.93
911756,Smirnoff,Crush Lemon Lime Cans 440mL,179.99,50.4,50.02,3.57
